chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
769,493,0.0,3.0,0.0,0
770,598,0.0,3.0,0.0,0
771,639,0.0,3.0,0.0,0
772,651,0.0,3.0,0.0,0
773,677,0.0,3.0,0.0,0
774,807,0.0,3.0,0.0,0
775,829,0.0,3.0,0.0,0
776,868,0.0,3.0,0.0,0
777,924,0.0,3.0,0.0,0
778,928,0.0,3.0,0.0,0
779,556,0.0,2.0,13.0,1
780,694,0.0,2.0,11.0,0
781,856,0.0,2.0,2.0,0
782,719,0.0,2.0,0.0,14
783,360,0.0,2.0,0.0,4
784,495,0.0,2.0,0.0,2
785,818,0.0,2.0,0.0,2
786,236,0.0,2.0,0.0,1
787,751,0.0,2.0,0.0,1
788,858,0.0,2.0,0.0,1
789,538,0.0,2.0,0.0,0
790,603,0.0,2.0,0.0,0
791,788,0.0,2.0,0.0,0
792,835,0.0,2.0,0.0,0
793,850,0.0,2.0,0.0,0
794,873,0.0,2.0,0.0,0
795,896,0.0,1.0,11.0,1
796,391,0.0,1.0,4.0,3
797,423,0.0,1.0,3.0,0
798,831,0.0,1.0,1.0,0
799,660,0.0,1.0,0.0,12
800,381,0.0,1.0,0.0,9
801,394,0.0,1.0,0.0,8
802,425,0.0,1.0,0.0,2
803,712,0.0,1.0,0.0,1
804,304,0.0,1.0,0.0,0
805,414,0.0,1.0,0.0,0
806,447,0.0,1.0,0.0,0
807,456,0.0,1.0,0.0,0
808,549,0.0,1.0,0.0,0
809,574,0.0,1.0,0.0,0
810,648,0.0,1.0,0.0,0
811,652,0.0,1.0,0.0,0
812,671,0.0,1.0,0.0,0
813,686,0.0,1.0,0.0,0
814,700,0.0,1.0,0.0,0
815,710,0.0,1.0,0.0,0
816,753,0.0,1.0,0.0,0
817,774,0.0,1.0,0.0,0
818,808,0.0,1.0,0.0,0
819,812,0.0,1.0,0.0,0
820,836,0.0,1.0,0.0,0
821,840,0.0,1.0,0.0,0
822,874,0.0,1.0,0.0,0
823,903,0.0,1.0,0.0,0
824,904,0.0,1.0,0.0,0
825,911,0.0,1.0,0.0,0
826,932,0.0,1.0,0.0,0
827,384,0.0,0.0,13.0,0
828,656,0.0,0.0,1.0,3
829,584,0.0,0.0,1.0,0
830,302,0.0,0.0,0.0,33
831,718,0.0,0.0,0.0,10
832,647,0.0,0.0,0.0,2
833,810,0.0,0.0,0.0,2
834,418,0.0,0.0,0.0,1
835,680,0.0,0.0,0.0,1
836,743,0.0,0.0,0.0,1
837,327,0.0,0.0,0.0,0
838,424,0.0,0.0,0.0,0
839,430,0.0,0.0,0.0,0
840,438,0.0,0.0,0.0,0
841,444,0.0,0.0,0.0,0
842,451,0.0,0.0,0.0,0
843,460,0.0,0.0,0.0,0
844,468,0.0,0.0,0.0,0
845,485,0.0,0.0,0.0,0
846,507,0.0,0.0,0.0,0
847,539,0.0,0.0,0.0,0
848,564,0.0,0.0,0.0,0
849,571,0.0,0.0,0.0,0
850,579,0.0,0.0,0.0,0
851,604,0.0,0.0,0.0,0
852,606,0.0,0.0,0.0,0
853,638,0.0,0.0,0.0,0
854,662,0.0,0.0,0.0,0
855,674,0.0,0.0,0.0,0
856,676,0.0,0.0,0.0,0
857,688,0.0,0.0,0.0,0
858,705,0.0,0.0,0.0,0
859,709,0.0,0.0,0.0,0
860,717,0.0,0.0,0.0,0
861,726,0.0,0.0,0.0,0
862,730,0.0,0.0,0.0,0
863,734,0.0,0.0,0.0,0
864,736,0.0,0.0,0.0,0
865,739,0.0,0.0,0.0,0
866,745,0.0,0.0,0.0,0
867,764,0.0,0.0,0.0,0
868,769,0.0,0.0,0.0,0
869,775,0.0,0.0,0.0,0
870,778,0.0,0.0,0.0,0
871,780,0.0,0.0,0.0,0
872,786,0.0,0.0,0.0,0
873,789,0.0,0.0,0.0,0
874,792,0.0,0.0,0.0,0
875,796,0.0,0.0,0.0,0
876,797,0.0,0.0,0.0,0
877,799,0.0,0.0,0.0,0
878,801,0.0,0.0,0.0,0
879,802,0.0,0.0,0.0,0
880,804,0.0,0.0,0.0,0
881,816,0.0,0.0,0.0,0
882,826,0.0,0.0,0.0,0
883,841,0.0,0.0,0.0,0
884,845,0.0,0.0,0.0,0
885,866,0.0,0.0,0.0,0
886,869,0.0,0.0,0.0,0
887,905,0.0,0.0,0.0,0
888,907,0.0,0.0,0.0,0
889,908,0.0,0.0,0.0,0
890,910,0.0,0.0,0.0,0
891,939,0.0,0.0,0.0,0
892,940,0.0,0.0,0.0,0
