chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
89,317,37.0,57.0,8.0,85
90,84,36.0,99.0,31.0,0
91,227,36.0,66.0,5.0,6
92,221,36.0,65.0,5.0,3
93,115,36.0,65.0,0.0,14
94,72,36.0,58.0,18.0,230
95,68,36.0,32.0,1.0,26
96,196,36.0,3.0,0.0,0
97,104,35.0,166.0,4.0,34
98,167,35.0,82.0,1.0,162
99,70,35.0,80.0,3.0,169
100,259,35.0,26.0,6.0,0
101,282,35.0,26.0,5.0,1
102,872,35.0,15.0,0.0,0
103,31,34.0,185.0,8.0,197
104,716,34.0,160.0,1.0,46
105,36,34.0,108.0,9.0,212
106,271,34.0,104.0,11.0,20
107,217,34.0,77.0,10.0,8
108,118,34.0,58.0,8.0,203
109,489,34.0,58.0,7.0,0
110,298,34.0,41.0,0.0,1
111,884,34.0,39.0,0.0,2
112,234,34.0,26.0,5.0,44
113,363,34.0,19.0,3.0,4
114,130,33.0,126.0,0.0,148
115,377,33.0,113.0,9.0,2
116,278,33.0,90.0,15.0,55
117,261,33.0,80.0,8.0,4
118,239,33.0,65.0,6.0,2
119,197,33.0,46.0,8.0,99
120,110,32.0,113.0,0.0,458
121,252,32.0,79.0,1.0,54
122,129,32.0,59.0,5.0,88
123,696,32.0,16.0,1.0,2
124,145,32.0,8.0,0.0,1
125,368,31.0,109.0,3.0,5
126,189,31.0,99.0,1.0,0
127,35,31.0,33.0,7.0,184
128,144,31.0,29.0,3.0,208
129,128,30.0,96.0,2.0,136
130,81,30.0,96.0,0.0,115
131,215,30.0,69.0,3.0,675
132,186,30.0,68.0,1.0,39
133,329,30.0,64.0,6.0,3
134,362,30.0,64.0,6.0,0
135,291,30.0,55.0,3.0,0
136,897,30.0,49.0,2.0,2
137,59,29.0,112.0,4.0,215
138,177,29.0,70.0,2.0,1
139,202,29.0,50.0,11.0,31
140,39,28.0,159.0,6.0,100
141,644,28.0,102.0,5.0,29
142,421,28.0,86.0,4.0,0
143,435,28.0,79.0,0.0,168
144,776,28.0,28.0,0.0,0
145,131,27.0,124.0,1.0,22
146,156,27.0,121.0,1.0,34
147,250,27.0,53.0,1.0,17
148,105,27.0,40.0,6.0,202
149,122,27.0,12.0,8.0,64
150,20,26.0,163.0,4.0,0
151,25,26.0,149.0,5.0,168
152,160,26.0,143.0,6.0,15
153,123,26.0,110.0,9.0,71
154,303,26.0,104.0,18.0,63
155,172,26.0,92.0,1.0,26
156,321,26.0,66.0,1.0,16
157,525,26.0,65.0,6.0,0
158,97,25.0,156.0,1.0,236
159,40,25.0,107.0,3.0,62
160,216,25.0,84.0,18.0,348
161,134,25.0,80.0,1.0,1
162,91,25.0,76.0,0.0,162
163,114,25.0,32.0,0.0,666
164,588,24.0,130.0,0.0,25
165,124,24.0,116.0,3.0,2
166,162,24.0,107.0,0.0,26
167,69,24.0,93.0,2.0,5
168,284,24.0,78.0,0.0,30
169,241,24.0,29.0,4.0,54
170,95,23.0,145.0,2.0,478
171,140,23.0,121.0,10.0,31
172,100,23.0,110.0,0.0,5
173,76,23.0,85.0,1.0,84
174,66,23.0,55.0,0.0,272
175,139,23.0,55.0,0.0,9
176,93,23.0,45.0,0.0,10
177,190,22.0,129.0,7.0,111
178,198,22.0,125.0,1.0,51
179,119,22.0,81.0,1.0,44
180,356,22.0,24.0,1.0,7
181,233,22.0,14.0,2.0,3
182,720,21.0,188.0,3.0,30
183,552,21.0,166.0,9.0,25
184,107,21.0,100.0,1.0,32
185,168,21.0,91.0,1.0,58
186,149,21.0,71.0,2.0,13
187,296,21.0,54.0,1.0,51
188,727,21.0,24.0,1.0,0
189,246,20.0,87.0,22.0,9
190,396,20.0,78.0,0.0,21
191,487,20.0,77.0,2.0,0
192,319,20.0,68.0,0.0,22
193,692,20.0,42.0,0.0,0
194,341,20.0,23.0,0.0,8
195,251,20.0,22.0,4.0,84
196,79,20.0,16.0,4.0,93
197,165,19.0,125.0,6.0,285
198,203,19.0,117.0,5.0,3
199,28,19.0,107.0,1.0,325
200,205,19.0,101.0,0.0,73
201,166,19.0,74.0,0.0,129
202,293,19.0,72.0,0.0,5
203,45,19.0,48.0,1.0,102
204,567,19.0,34.0,1.0,2
205,170,19.0,0.0,0.0,0
206,213,18.0,110.0,0.0,69
207,112,18.0,106.0,2.0,184
208,161,18.0,95.0,0.0,454
209,245,18.0,84.0,0.0,23
210,178,18.0,80.0,24.0,0
211,281,18.0,80.0,9.0,38
212,290,17.0,120.0,0.0,2
213,352,17.0,119.0,2.0,7
